date,year,month,volume
2019-01-31,2019,1,138601
2019-02-28,2019,2,152616
2019-03-31,2019,3,185697
2019-04-30,2019,4,162505
2019-05-31,2019,5,197636
2019-06-30,2019,6,179305
2019-07-31,2019,7,184179
2019-08-31,2019,8,218401
2019-09-30,2019,9,150791
2020-10-31,2019,10,165644
2019-11-30,2019,11,177764
2019-12-31,2019,12,172047
2020-01-31,2020,1,146239
2020-02-29,2020,2,173008
2020-03-31,2020,3,120140
2020-04-30,2020,4,74926
2020-05-31,2020,5,145057
2020-06-30,2020,6,127590
2020-07-31,2020,7,146044
2020-08-31,2020,8,164750
2020-09-30,2020,9,172370
2020-10-31,2020,10,178658
2020-11-30,2020,11,177725
2020-12-31,2020,12,211378
2021-01-31,2021,1,146591
2021-02-28,2021,2,161625
2021-03-31,2021,3,220597
2021-04-30,2021,4,212283
2021-05-31,2021,5,212447
2021-06-30,2021,6,180623
